iter	Logloss
0	0.5522259397
1	0.463276668
2	0.4041910342
3	0.3652343797
4	0.3398730546
5	0.3233336744
6	0.3114334473
7	0.3026389103
8	0.2969669608
9	0.2924994527
10	0.2891068938
11	0.286485641
12	0.2845408118
13	0.2831928255
14	0.2822367253
15	0.2809642775
16	0.2797413635
17	0.2790143558
18	0.2783913668
19	0.2779626071
20	0.2776311776
21	0.2773532888
22	0.2771843404
23	0.2770710062
24	0.2766416824
25	0.2764729692
26	0.2763094728
27	0.2759753581
28	0.2758549494
29	0.2757620671
30	0.2756266982
31	0.2755372583
32	0.275423269
33	0.2753448315
34	0.2752502366
35	0.2751812823
36	0.2751341893
37	0.2751042266
38	0.2750743563
39	0.275039562
40	0.2749816857
41	0.2748218193
42	0.274757612
43	0.2747542086
44	0.274719993
45	0.2746761099
46	0.2746185745
47	0.274576781
48	0.2744893649
49	0.2744547373
50	0.2744247685
51	0.2743919837
52	0.2743618924
53	0.2743388607
54	0.2742941683
55	0.2742675018
56	0.2742343857
57	0.2742032413
58	0.2741821664
59	0.274120286
60	0.2740810195
61	0.2739925579
62	0.2739417493
63	0.2738848931
64	0.2738580283
65	0.2738322461
66	0.2738112268
67	0.2737951536
68	0.273767769
69	0.2737082638
70	0.2736931115
71	0.2736304918
72	0.2736043084
73	0.2735375963
74	0.2734955568
75	0.2734662325
76	0.2734342033
77	0.2734086964
78	0.2733909102
79	0.2733665292
80	0.2733454664
81	0.2733210589
82	0.2732906035
83	0.2732580479
84	0.2732382686
85	0.2732119319
86	0.2731850044
87	0.2731636163
88	0.273141138
89	0.2731100866
90	0.2730898052
91	0.2730772252
92	0.2730515285
93	0.2730243038
94	0.2730059189
95	0.2729830901
96	0.2729603895
97	0.2729168218
98	0.2728932627
99	0.272885967
100	0.2728588587
101	0.2728329231
102	0.2728140576
103	0.2727983483
104	0.2727818933
105	0.2727577106
106	0.2727403253
107	0.2727076557
108	0.2726819741
109	0.2726691532
110	0.2726456915
111	0.272627173
112	0.2726147452
113	0.2725959814
114	0.2725836095
115	0.2725584097
116	0.2725394403
117	0.2725144627
118	0.2724902703
119	0.2724691219
120	0.2724381322
121	0.2724260652
122	0.272392478
123	0.2723721473
124	0.2723546182
125	0.2723358476
126	0.2723166939
127	0.2722726044
128	0.2722541321
129	0.2722163183
130	0.2721771131
131	0.2721578971
132	0.2721393274
133	0.2720893191
134	0.272062994
135	0.272037842
136	0.2720131081
137	0.2719816702
138	0.2719597263
139	0.2719335538
140	0.2719063356
141	0.2718787148
142	0.2718576508
143	0.2718236145
144	0.2717940746
145	0.271762172
146	0.2717346808
147	0.271709401
148	0.271682512
149	0.2716618038
150	0.2716208409
151	0.2715950549
152	0.2715656425
153	0.2715403309
154	0.271511603
155	0.2714909763
156	0.2714703033
157	0.271444559
158	0.271412024
159	0.2713982909
160	0.2713754695
161	0.2713562323
162	0.2713336065
163	0.2713139853
164	0.2712941147
165	0.2712759753
166	0.2712570394
167	0.2712424936
168	0.2712186872
169	0.2711953578
170	0.2711732056
171	0.2711531108
172	0.2711313974
173	0.2711123351
174	0.2710917687
175	0.2710742774
176	0.2710573142
177	0.2710358166
178	0.2710152874
179	0.2709991325
180	0.270980439
181	0.270961906
182	0.2709426037
183	0.2709241905
184	0.2709064259
185	0.2708915558
186	0.2708659957
187	0.2708352089
188	0.2708172432
189	0.2707899031
190	0.2707585653
191	0.2707296822
192	0.2707091107
193	0.2706954147
194	0.270671484
195	0.2706591683
196	0.2706378405
197	0.2706130206
198	0.2705985229
199	0.2705832045
200	0.2705585651
201	0.2705445599
202	0.2705274116
203	0.2705099907
204	0.2704933079
205	0.2704775407
206	0.2704621144
207	0.2704386614
208	0.2704251402
209	0.2704059418
210	0.2703814022
211	0.2703639744
212	0.2703506217
213	0.2703321178
214	0.2703136165
215	0.2702959081
216	0.270276851
217	0.2702543095
218	0.270230635
219	0.2702175221
220	0.270193238
221	0.270176081
222	0.2701548713
223	0.27014061
224	0.270125852
225	0.270107258
226	0.2700913919
227	0.2700732609
228	0.2700504893
229	0.2700353595
230	0.2700085145
231	0.2699883715
232	0.2699644596
233	0.2699493612
234	0.2699391113
235	0.2699265073
236	0.2699111247
237	0.269897828
238	0.2698842827
239	0.2698629897
240	0.269850358
241	0.2698225413
242	0.2698043881
243	0.2697827633
244	0.2697586681
245	0.2697508843
246	0.2697299372
247	0.269713272
248	0.2696995512
249	0.2696818104
250	0.2696712805
251	0.2696541536
252	0.2696418208
253	0.2696259851
254	0.2696102491
255	0.269600352
256	0.2695872773
257	0.2695661708
258	0.2695529903
259	0.2695373519
260	0.2695166675
261	0.2694996754
262	0.2694882127
263	0.2694750441
264	0.269456574
265	0.2694391302
266	0.2694255819
267	0.2694081371
268	0.2693774058
269	0.269363044
270	0.2693426126
271	0.2693232757
272	0.2692998489
273	0.2692849344
274	0.2692691872
275	0.2692560395
276	0.269233416
277	0.269214303
278	0.2692015595
279	0.2691853766
280	0.2691691295
281	0.2691497235
282	0.2691316585
283	0.2691158762
284	0.2690977506
285	0.2690712184
286	0.2690600922
287	0.2690454018
288	0.2690411379
289	0.2690214667
290	0.269003217
291	0.2689896357
292	0.2689719808
293	0.2689608106
294	0.2689382342
295	0.2689228598
296	0.2689078437
297	0.2688941506
298	0.2688804616
299	0.2688605262
300	0.2688553774
301	0.2688409981
302	0.268824008
303	0.2688104671
304	0.2687899241
305	0.2687737648
306	0.2687593871
307	0.268735404
308	0.2687249137
309	0.2687081149
310	0.2686906731
311	0.2686734607
312	0.2686538902
313	0.268634756
314	0.2686235176
315	0.268601176
316	0.2685851416
317	0.268566482
318	0.2685532146
319	0.2685293594
320	0.2685070153
321	0.2684876895
322	0.268468723
323	0.2684477253
324	0.2684328028
325	0.2684192703
326	0.2684061374
327	0.2683935775
328	0.2683809337
329	0.2683663881
330	0.2683508251
331	0.2683342602
332	0.2683083365
333	0.2682901486
334	0.268279343
335	0.2682613863
336	0.2682462764
337	0.2682367727
338	0.2682256378
339	0.2682071149
340	0.2681915443
341	0.2681743878
342	0.2681542844
343	0.2681405073
344	0.2681262826
345	0.2681088694
346	0.268091305
347	0.2680902481
348	0.2680710504
349	0.2680624662
350	0.2680492831
351	0.2680330793
352	0.2680180601
353	0.268006041
354	0.2679960187
355	0.2679803799
356	0.26797198
357	0.2679563729
358	0.2679439251
359	0.2679245742
360	0.2679027625
361	0.2678827664
362	0.2678685594
363	0.2678542096
364	0.2678511908
365	0.2678364772
366	0.2678202045
367	0.267808334
368	0.2677923639
369	0.2677811638
370	0.2677574713
371	0.2677468375
372	0.2677254844
373	0.2677082201
374	0.2676926487
375	0.2676755266
376	0.2676521635
377	0.2676332105
378	0.2676133277
379	0.2675966043
380	0.2675770829
381	0.2675690759
382	0.2675496901
383	0.2675316587
384	0.2675202681
385	0.2675003649
386	0.2674864944
387	0.2674689385
388	0.2674566594
389	0.2674357195
390	0.2674178406
391	0.267405629
392	0.267389317
393	0.2673698734
394	0.2673450705
395	0.2673337958
396	0.2673205429
397	0.267300608
398	0.2672909149
399	0.2672791844
400	0.2672583202
401	0.2672396903
402	0.2672260375
403	0.2672173371
404	0.2672090052
405	0.2671952687
406	0.2671750854
407	0.2671612962
408	0.2671454257
409	0.2671317248
410	0.2671161539
411	0.2670920907
412	0.2670810081
413	0.2670713432
414	0.2670563973
415	0.2670439692
416	0.2670322103
417	0.2670232459
418	0.2670103978
419	0.2669923883
420	0.2669783113
421	0.2669650703
422	0.2669520021
423	0.2669410117
424	0.2669268181
425	0.2669143374
426	0.2668999843
427	0.2668884534
428	0.2668702215
429	0.2668569616
430	0.2668417981
431	0.2668266678
432	0.2668123771
433	0.2668024903
434	0.2667821986
435	0.2667657996
436	0.266744152
437	0.2667225265
438	0.2667138376
439	0.2667017126
440	0.2666817327
441	0.2666671834
442	0.2666514332
443	0.2666355902
444	0.2666214053
445	0.2666071117
446	0.2665905738
447	0.2665730838
448	0.2665550462
449	0.2665422581
450	0.2665305343
451	0.2665145832
452	0.2665013476
453	0.2664859633
454	0.2664724825
455	0.2664543024
456	0.2664375633
457	0.2664255799
458	0.2664158428
459	0.2663963637
460	0.2663874718
461	0.266374408
462	0.266362069
463	0.2663468141
464	0.2663355055
465	0.2663163618
466	0.266308817
467	0.2662884904
468	0.2662747262
469	0.2662582061
470	0.2662474356
471	0.2662270843
472	0.2662108656
473	0.2661988622
474	0.2661874394
475	0.2661704775
476	0.2661521602
477	0.2661301511
478	0.2661194718
479	0.2660976829
480	0.2660804664
481	0.2660640377
482	0.2660482364
483	0.2660355996
484	0.2660245572
485	0.2660139393
486	0.2659975854
487	0.2659878563
488	0.2659772542
489	0.2659618486
490	0.2659495969
491	0.2659390792
492	0.2659293462
493	0.2659124707
494	0.2658967591
495	0.2658842236
496	0.2658743263
497	0.265860057
498	0.2658502166
499	0.2658344455
500	0.2658228104
501	0.2658045413
502	0.2657920585
503	0.265783134
504	0.2657651484
505	0.2657567429
506	0.2657433664
507	0.2657280109
508	0.2657129215
509	0.2656956883
510	0.2656802493
511	0.2656607814
512	0.2656453189
513	0.2656308252
514	0.2656162642
515	0.2656064225
516	0.2655939344
517	0.2655808021
518	0.2655665287
519	0.2655517868
520	0.2655311365
521	0.2655215233
522	0.2655172594
523	0.2655061288
524	0.2654969842
525	0.2654906342
526	0.2654805728
527	0.2654661634
528	0.2654480818
529	0.2654336675
530	0.2654176917
531	0.2654142445
532	0.2653985176
533	0.2653958442
534	0.2653865996
535	0.2653754969
536	0.2653594043
537	0.2653403236
538	0.2653284316
539	0.265318502
540	0.2653019785
541	0.2652847266
542	0.2652693079
543	0.2652521154
544	0.2652411942
545	0.2652282904
546	0.2652104052
547	0.2651901191
548	0.2651691152
549	0.2651555025
550	0.2651390485
551	0.265130012
552	0.265119554
553	0.265103988
554	0.2650905711
555	0.2650665866
556	0.2650511113
557	0.2650364015
558	0.2650253186
559	0.2650152483
560	0.2650004708
561	0.264988063
562	0.2649734406
563	0.2649603002
564	0.2649471757
565	0.2649388236
566	0.2649277451
567	0.2649158297
568	0.2649057515
569	0.2648951693
570	0.2648852079
571	0.2648692362
572	0.2648630636
573	0.2648498991
574	0.2648367828
575	0.2648255962
576	0.2648093811
577	0.2647882868
578	0.2647754337
579	0.2647604257
580	0.2647474779
581	0.2647338682
582	0.2647271338
583	0.2647174122
584	0.2647026883
585	0.2646943644
586	0.2646792659
587	0.264663391
588	0.264649472
589	0.264635991
590	0.2646234553
591	0.2646146549
